mm-ata01;mk2-m1;mk201;Dana dalam artian sempit diartikan sebagai ...;Kas;Modal kerja;Utang lancar;Aktiva lancar;jaw_a
mm-ata01;mk2-m1;mk202;Laporan yang menggambarkan dari mana dana didapatkan dan untuk apa dana digunakan disebut ...;Laporan sumber dana;Laporan penggunaan dana;Laporan sumber dan penggunaan dana;A, B, dan C salah;jaw_c
mm-ata01;mk2-m1;mk203;Berikut ini adalah penggunaan dana dalam artian kas, kecuali;Berkurangnya aktiva tetap;Berkurangnya setiap jenis utang;Adanya kerugian operasional perusahaan;Berkurangnya modal;jaw_a
mm-ata01;mk2-m1;mk204;Yang mempunyai efek memperbesar modal disebut ...;Current account;Sumber modal kerja;Penggunaan modal kerja;Sumber dan penggunaan modal kerja;jaw_b
mm-ata01;mk2-m1;mk205;Apabila persediaan bertambah maka selisih persediaan tersebut termasuk dalam golongan ...;Sumber;Penggunaan;Sumber dan penggunaan;A, B, dan C benar;jaw_b
mm-ata01;mk2-m1;mk206;Apabila sumber > penggunaan, maka ...;Mempunyai efek negatif terhadap modal kerja yaitu akan menambah modal kerja;Mempunyai efek negatif terhadap modal kerja yaitu akan mengurangi modal kerja;Mempunyai efek positif terhadap modal kerja yaitu akan mengurangi modal kerja;Mempunyai efek positif terhadap modal kerja yaitu akan menambah modal kerja;jaw_d
mm-ata01;mk2-m1;mk207;Berikut ini termasuk penggunaan dalam artian modal kerja, kecuali;Berkurangnya utang jangka panjang;Berkurangnya aktiva tetap;Berkurangya modal;Pembayaran cash deviden;jaw_b
mm-ata01;mk2-m1;mk208;Apabila utang dagang bertambah, maka selisih utang dagang tersebut termasuk dalam golongan ...;Sumber;Penggunaan;Sumber dan penggunaan;A, B, dan C salah;jaw_a
mm-ata01;mk2-m1;mk209;Dana dalam artian luas diartikan sebagai ...;Kas;Modal kerja;Utang lancar;Aktiva lancar;jaw_b
mm-ata01;mk2-m1;mk210;Yang mempunyai efek mengurangi modal kerja disebut ...;Current account;Sumber modal kerja;Penggunaan modal kerja;Sumber dan penggunaan modal kerja;jaw_c
mm-ata01;mk2-m1;mk211;Jika penggunaan > sumber, maka ...;Akan memperbesar modal kerja;Akan memperkecil modal kerja;Tidak mempunyai efek apapun;Modal kerja tidak berubah.;jaw_b
mm-ata01;mk2-m1;mk212;Sumber-sumber dana dalam artian kas, kecuali ...;Berkurangnya aktiva lancar;Berkurangnya aktiva tetap;Berkurangnya modal;Bertambahnya setiap jenis utang;jaw_c
mm-ata01;mk2-m1;mk213;Yang termasuk dalam current account adalah ...;Aktiva lancar dan Utang jangka panjang;Utang lancar dan aktiva lancar;Aktiva tetap dan utang lancar;Utang jangka panjang dan utang lancar;jaw_b
mm-ata01;mk2-m1;mk214;Laba ditahan termasuk dalam golongan;Aktiva;Hutang dan modal;Aktiva dan modal;Aktiva dan hutang;jaw_b
mm-ata01;mk2-m1;mk215;Analisa sumber dan penggunaan dana sering juga disebut dengan ...;Analisa aliran dana;Laporan sumber dan penggunaan dana;Laporan arus kas;Analisa curretn ratio;jaw_a
mm-ata01;mk2-m1;mk216;Yang termasuk dalam golongan aktiva adalah sebagai berikut, kecuali;Mesin;Piutang dagang;Obligasi;Persediaan;jaw_c
mm-ata01;mk2-m1;mk217;Penggunaan dana dalam artian kas adalah sebagai berikut, kecuali;Bertambahnya aktiva lancar selain kas;Bertambahnya aktiva tetap;Bertambahnya modal;Berkurangnya setiap jenis utang;jaw_c
mm-ata01;mk2-m1;mk218;Di bawah ini salah satu yang termasuk dalam golongan hutang dan modal adalah;Mesin;Piutang dagang;Obligasi;Persediaan;jaw_c
mm-ata01;mk2-m1;mk219;Apabila kas berkurang, maka selisih kas tersebut termasuk golongan ...;Sumber;Penggunaan;Sumber dan penggunaan;A, B, dan C benar;jaw_a
mm-ata01;mk2-m1;mk220;Modal kerja adalah ...;Total hutang lancar dikurangi total hutang jangka panjang;Total hutang lancar dikurangi total aktiva lancar;Total aktiva lancar dikurangi total hutang jangka panjang;Total aktiva lancar dikurangi total hutang lancar;jaw_d
mm-ata01;mk2-m1;mk221;Apabila sewa dibayar di muka bertambah, maka;Selisihnya akan menambah sumber dana;Selisihnya akan menambah penggunaan dana;Selisihnya akan mengurangi sumber dana;Tidak berpengaruh terhadap sumber dan penggunaan dana;jaw_a
mm-ata01;mk2-m1;mk222;Berikut adalah sumber-sumber dana dalam artian modal kerja, kecuali;Penyusutan;Berkurangnya utang jangka panjang;Berkurangnya aktiva tetap;Bertambahnya utang jangka panjang;jaw_b
mm-ata01;mk2-m1;mk223;Apabila obligasi bertambah, maka selisih obligasi tersebut termasuk dalam golongan ...;Sumber;Penggunaan;Sumber dan penggunaan;A, B, dan C benar;jaw_a
mm-ata01;mk2-m1;mk224;Adanya kerugian dari operasional perusahaan termasuk dalam golongan ...;Penggunaan dana dalam artian modal kerja;Penggunaan dana dalam artian kas;sumber-sumber dana dalam artian kas;A dan B benar;jaw_d
mm-ata01;mk2-m1;mk225;Elemen yang memperkecil dana akan menjadi ...;Penggunaan dana;Sumber dana;Sumber dan penggunaan dana;Semua salah;jaw_a
